Date,URL,Source,Author,Title,Description,Content
2025-06-27,https://www.wired.com/story/openai-five-levels-agi-paper-microsoft-negotiations/,Wired,Kylie Robison,OpenAI’s Unreleased AGI Paper Could Complicate Microsoft Negotiations,"The partnership between OpenAI and Microsoft in many ways hinges on the definition of artificial general intelligence, creating a tension that has spilled over into OpenAI research that has not been made public.","A small clause inside OpenAIs contract with Microsoft, once considered a distant hypothetical, has now become a flashpoint in one of the biggest partnerships in tech.
The clause states that if OpenA… [+3289 chars]"
2025-06-08,https://www.theverge.com/news/682011/microsoft-windows-xbox-pc-combination-features-rog-xbox-ally-devices,The Verge,Tom Warren,This is how Microsoft is combining Windows and Xbox for handheld PCs,"Microsoft and Asus have just announced two ROG Xbox Ally devices that include a new full-screen Xbox experience for handhelds. After promising to combine “the best of Xbox and Windows together” for handhelds earlier this year, Microsoft is now revealing exact…","Two new Xbox Ally devices introduce Microsofts much-needed improvements to handheld gaming PCs.
Two new Xbox Ally devices introduce Microsofts much-needed improvements to handheld gaming PCs.
Micro… [+6517 chars]"
2025-06-17,https://www.theverge.com/news/688407/microsoft-next-gen-xbox-cloud-amd,The Verge,Tom Warren,Microsoft’s next-gen Xbox has an AMD chip inside and is ‘not locked to a single store’,"Microsoft is confirming today that it’s working on a next-gen Xbox console in partnership with AMD. Xbox president Sarah Bond made the announcement in a minute-long video posted to YouTube, promising to deliver “an Xbox experience not locked to a single store…","The next generation of Xbox devices is all about playing games anywhere.
The next generation of Xbox devices is all about playing games anywhere.
Microsoft is confirming today that its working on a… [+3425 chars]"
2025-07-02,https://www.theverge.com/news/693535/microsoft-layoffs-july-2025-xbox,The Verge,Tom Warren,"Microsoft is laying off as many as 9,000 employees","Microsoft confirmed that it’s laying off as many as 9,100 employees, or about four percent of its workforce, in yet another round of cuts this year, reports the Seattle Times. Employees in Microsoft’s Xbox division, known as Microsoft Gaming, are being hit ha…","Microsofts latest job cuts come after multiple rounds of layoffs over the past year.
Microsoft confirmed that its laying off as many as 9,100 employees, or about four percent of its workforce, in ye… [+3529 chars]"
2025-06-17,https://www.theverge.com/news/688056/microsoft-copilot-advertising-watchdog-response,The Verge,Tom Warren,"Microsoft should change its Copilot advertising, says watchdog","Microsoft’s Copilot advertising has been criticized by an industry watchdog for its productivity claims and confusing use of Copilot branding. The Better Business Bureau’s National Advertising Division (NAD) has reviewed Microsoft’s Copilot advertising, and r…","An advertising watchdog has recommended that Microsoft discontinue or modify some of its Copilot claims.
Microsofts Copilot advertising has been criticized by an industry watchdog for its productivi… [+2394 chars]"
2025-06-18,https://www.theverge.com/notepad-microsoft-newsletter/688964/microsoft-openai-relationship-notepad,The Verge,Tom Warren,Inside Microsoft’s complicated relationship with OpenAI,"Beyond the selfies between Microsoft CEO Satya Nadella and OpenAI CEO Sam Altman, and the friendly conversations between the pair on stage, all is not well with Microsoft's $13 billion AI investment. Over the past year, multiple reports have painted a picture…","The cracks are showing in this unique tech partnership.
Beyond the selfies between Microsoft CEO Satya Nadella and OpenAI CEO Sam Altman, and the friendly conversations between the pair on stage, al… [+12433 chars]"
2025-07-02,https://www.theverge.com/news/696877/xbox-perfect-dark-everwild-cancelled-the-initiative-layoffs,The Verge,"Tom Warren, Jay Peters",Microsoft cancels its Perfect Dark and Everwild Xbox games,"Microsoft is canceling its Perfect Dark and Everwild games as part of sweeping cuts to its Xbox division. Xbox Game Studios chief Matt Booty revealed that Microsoft will be closing The Initiative, the studio behind Perfect Dark, in an internal memo to Xbox em…","The company is closing The Initiative, too.
Microsoft is canceling its Perfect Dark and Everwild games as part of sweeping cuts to its Xbox division. Xbox Game Studios chief Matt Booty revealed that… [+1683 chars]"
2025-07-02,https://www.theverge.com/news/696922/phil-spencer-xbox-microsoft-gaming-retiring,The Verge,"Jay Peters, Tom Warren",Phil Spencer isn’t retiring as the chief of Xbox ‘anytime soon’,"Microsoft says that Phil Spencer, Microsoft Gaming CEO and the head of Xbox, isn’t retiring “anytime soon.” The company has responded to rumors of Spencer’s retirement, which have spread online today following Microsoft’s major layoffs. “Phil is not retiring …","Spencer has headed up Microsofts Xbox efforts since 2014.
Microsoft says that Phil Spencer, Microsoft Gaming CEO and the head of Xbox, isnt retiring anytime soon. The company has responded to rumors… [+1504 chars]"
2025-06-08,https://www.theverge.com/news/682235/xbox-pc-games-console-library-xbox-360,The Verge,Tom Warren,Xbox console games are suddenly showing up inside the Xbox PC app,"Something strange is going on with Microsoft’s Xbox app on Windows. Over the past few days, the Xbox PC app has started showing Xbox console games inside the library. While you can’t install games like the original Alan Wake for Xbox 360, it shows up if you o…","Were starting to see some early signs of Microsoft bringing Xbox and Windows closer together.
Were starting to see some early signs of Microsoft bringing Xbox and Windows closer together.
Something… [+2279 chars]"
2025-06-12,https://www.theverge.com/notepad-microsoft-newsletter/686101/microsoft-xbox-next-gen-console-handheld-hints-notepad,The Verge,Tom Warren,"Microsoft just teased its next-gen Xbox console, and nobody noticed","I feel like a broken record, but I've been writing for more than a year that the next Xbox console will be more PC-like. Now, I think Microsoft just teased its next-gen Xbox plans while announcing its partnership with Asus to bring two Xbox Ally handhelds to …","Microsofts Xbox handheld work is an early look at the next Xbox consoles.
I feel like a broken record, but Ive been writing for more than a year that the next Xbox console will be more PC-like. Now,… [+12627 chars]"
