Date;Price;CVol;Change;% Change;% Return;Total Return (Gross);Cumulative Return %;Open;High;Low;Cumulative Change %
05/07/25;198,51;51216480;;;;258,15;201.105,58;198,21;200,65;197,02;154.623,30
05/06/25;198,51;51216480;-0,38;-0,19;-0,19;258,15;201.105,58;198,21;200,65;197,02;154.623,30
05/05/25;198,89;69018445;-6,46;-3,15;-3,15;258,64;201.490,75;203,10;204,10;198,21;154.919,49
05/02/25;205,35;101010600;-7,97;-3,74;-3,74;267,04;208.038,47;206,09;206,99;202,16;159.954,56
05/01/25;213,32;57365680;0,82;0,39;0,39;277,41;216.116,68;209,08;214,56;208,90;166.166,56
04/30/25;212,50;52286450;1,29;0,61;0,61;276,34;215.285,55;209,30;213,58;206,67;165.527,44
04/29/25;211,21;36827633;1,07;0,51;0,51;274,66;213.978,05;208,69;212,24;208,37;164.521,98
04/28/25;210,14;38743070;0,86;0,41;0,41;273,27;212.893,50;210,00;211,50;207,46;163.688,00
04/25/25;209,28;38222260;0,91;0,44;0,44;272,15;212.021,82;206,37;209,75;206,20;163.017,69
04/24/25;208,37;47310992;3,77;1,84;1,84;270,97;211.099,45;204,89;208,83;202,94;162.308,42
04/23/25;204,60;52929168;4,86;2,43;2,43;266,07;207.278,29;206,00;208,00;202,80;159.369,99
04/22/25;199,74;52976367;6,58;3,41;3,41;259,75;202.352,28;196,12;201,59;195,97;155.582,00
04/21/25;193,16;46742540;-3,82;-1,94;-1,94;251,19;195.682,94;193,27;193,80;189,81;150.453,39
04/17/25;196,98;52164680;2,71;1,39;1,39;256,16;199.554,79;197,20;198,83;194,42;153.430,79
04/16/25;194,27;59732420;-7,87;-3,89;-3,89;252,63;196.808,01;198,36;200,70;192,37;151.318,55
04/15/25;202,14;51343870;-0,38;-0,19;-0,19;262,87;204.784,86;201,86;203,51;199,80;157.452,61
04/14/25;202,52;101352900;4,37;2,21;2,21;263,36;205.170,03;211,44;212,94;201,16;157.748,79
04/11/25;198,15;87435920;7,73;4,06;4,06;257,68;200.740,69;186,10;199,54;186,06;154.342,71
04/10/25;190,42;121880000;-8,43;-4,24;-4,24;247,63;192.905,72;189,07;194,78;183,00;148.317,77
04/09/25;198,85;184395900;26,43;15,33;15,33;258,59;201.450,19;171,95;200,61;171,89;154.888,31
04/08/25;172,42;120859510;-9,04;-4,98;-4,98;224,22;174.661,30;186,70;190,34;169,21;134.288,15
