Date;Price;CVol;% Change;Open;Low;High;NAV;Total Return (Gross);% Return;Cumulative Return %
05/14/25;586,84;117096;0,00;0,00;;;;776,06;;596,39
05/13/25;586,84;67947234;0,66;583,41;582,84;589,08;587,02;776,06;0,66;596,39
05/12/25;582,99;78993570;3,30;581,47;577,04;583,00;582,79;770,97;3,30;591,82
05/09/25;564,34;37603434;-0,13;566,48;562,76;567,50;564,37;746,30;-0,13;569,69
05/08/25;565,06;65130793;0,70;565,24;561,70;570,31;564,68;747,26;0,70;570,55
05/07/25;561,15;55733230;0,42;560,15;556,04;563,82;561,42;742,09;0,42;565,91
05/06/25;558,80;48264710;-0,84;557,93;556,96;563,35;558,99;738,98;-0,84;563,12
05/05/25;563,51;38659220;-0,57;562,57;561,70;566,65;563,32;745,21;-0,57;568,71
05/02/25;566,76;60717273;1,48;564,73;562,38;568,38;566,90;749,51;1,48;572,56
05/01/25;558,47;63186152;0,71;560,37;557,86;564,07;558,67;738,54;0,71;562,73
04/30/25;554,54;93101450;0,04;547,57;541,52;556,52;555,17;733,34;0,04;558,06
04/29/25;554,32;47775120;0,63;548,91;548,55;555,45;554,31;733,05;0,63;557,80
04/28/25;550,85;47613760;0,04;551,39;545,02;553,55;551,11;728,47;0,04;553,68
04/25/25;550,64;61119594;0,72;546,65;543,69;551,05;550,75;728,19;0,72;553,43
04/24/25;546,69;64150420;2,10;536,72;535,45;547,43;546,73;722,96;2,10;548,75
04/23/25;535,42;90590660;1,55;540,43;533,88;545,43;535,88;708,06;1,55;535,37
04/22/25;527,25;75948120;2,60;520,14;519,19;529,31;527,10;697,26;2,60;525,68
04/21/25;513,88;69368125;-2,38;521,16;508,46;521,70;514,19;679,57;-2,38;509,81
04/17/25;526,41;79868080;0,14;527,64;523,91;531,17;526,54;696,14;0,14;524,68
04/16/25;525,66;83484805;-2,22;531,68;520,29;537,89;525,84;695,15;-2,22;523,79
04/15/25;537,61;56892870;-0,28;539,68;536,81;543,23;537,87;710,96;-0,28;537,97
04/14/25;539,12;68033990;0,97;544,05;533,86;544,28;538,75;712,95;0,97;539,76
04/11/25;533,94;97866330;1,78;523,01;520,07;536,43;534,51;706,10;1,78;533,62
04/10/25;524,58;162331200;-4,38;532,17;509,32;533,50;525,01;693,72;-4,38;522,51
04/09/25;548,62;241867300;10,50;493,44;493,05;548,62;543,72;725,52;10,50;551,04
04/08/25;496,48;165816610;-1,57;521,86;489,16;524,98;496,50;656,56;-1,57;489,16
04/07/25;504,38;256611390;-0,18;489,19;481,80;523,17;504,42;667,01;-0,18;498,54
04/04/25;505,28;217965110;-5,85;523,67;505,06;525,87;505,59;668,20;-5,85;499,61
04/03/25;536,70;125986000;-4,93;545,11;536,70;547,97;537,63;709,75;-4,93;536,89
04/02/25;564,52;76014550;0,63;555,05;554,81;567,42;564,94;746,54;0,63;569,91
04/01/25;560,97;54609640;0,28;557,45;553,68;562,94;561,15;741,85;0,28;565,69
03/31/25;559,39;95328210;0,67;549,83;546,87;560,71;559,02;739,76;0,67;563,82
03/28/25;555,66;71662650;-2,01;565,53;555,07;566,27;555,89;734,83;-2,01;559,39
03/27/25;567,08;42164246;-0,27;567,18;564,94;570,90;567,07;749,93;-0,27;572,94
03/26/25;568,59;52228900;-1,19;575,19;567,19;576,33;568,95;751,93;-1,19;574,74
03/25/25;575,46;38355740;0,24;575,30;573,69;576,41;575,37;761,01;0,24;582,89
03/24/25;574,08;58766800;1,79;570,80;570,20;575,15;574,44;759,19;1,79;581,25
03/21/25;563,98;83762960;-0,27;559,28;558,03;564,89;564,48;745,83;0,03;569,26
03/20/25;565,49;62958200;-0,29;563,33;562,60;570,57;565,70;745,58;-0,29;569,05
03/19/25;567,13;66555990;1,09;562,83;561,63;570,95;566,86;747,75;1,09;570,99
03/18/25;561,02;66041420;-1,08;564,80;559,06;565,02;560,82;739,69;-1,08;563,76
03/17/25;567,15;49008710;0,77;562,79;562,35;569,71;566,83;747,77;0,77;571,01
03/14/25;562,81;62660320;2,07;556,11;551,49;563,83;563,19;742,05;2,07;565,87
03/13/25;551,42;74079410;-1,33;558,49;549,68;559,11;551,38;727,03;-1,33;552,40
03/12/25;558,87;69588170;0,53;562,17;553,69;563,11;559,08;736,86;0,53;561,21
03/11/25;555,92;88102110;-0,83;559,40;552,02;564,02;556,36;732,97;-0,83;557,72
03/10/25;560,58;99326625;-2,66;567,59;555,59;569,54;560,59;739,11;-2,66;563,24
03/07/25;575,92;81158810;0,56;570,90;565,63;577,39;575,99;759,34;0,56;581,39
03/06/25;572,71;80094875;-1,78;575,48;570,12;580,17;572,75;755,10;-1,78;577,59
03/05/25;583,06;71230530;1,07;576,69;573,08;584,88;583,10;768,75;1,07;589,83
03/04/25;576,86;109648200;-1,18;579,71;572,25;585,39;576,67;760,58;-1,18;582,50
03/03/25;583,77;74249200;-1,75;596,18;579,90;597,34;583,78;769,69;-1,75;590,67
02/28/25;594,18;88744110;1,56;585,56;582,44;594,72;594,16;783,41;1,56;602,99
02/27/25;585,05;74196660;-1,60;596,85;584,65;598,02;584,84;771,37;-1,60;592,19
02/26/25;594,54;43321580;0,05;595,93;591,86;599,58;594,24;783,89;0,05;603,42
02/25/25;594,24;58266473;-0,50;597,15;589,56;597,89;594,15;783,49;-0,50;603,06
02/24/25;597,21;50737207;-0,46;602,02;596,49;603,03;596,93;787,41;-0,46;606,57
