Date;Price;CVol;Change;% Change;Total Return (Gross, Unhedged);Cumulative Return % (Gross, Unhedged);Open;High;Low
05/14/25;18,22;;;;;;;18,22;18,22
05/13/25;18,22;;-0,17;-0,92;;;18,69;18,85;17,65
05/12/25;18,39;;-3,51;-16,03;;;19,84;20,44;18,14
05/09/25;21,90;;-0,58;-2,58;;;22,40;22,82;21,83
05/08/25;22,48;;-1,07;-4,54;;;22,84;23,61;21,88
05/07/25;23,55;;-1,21;-4,89;;;24,56;25,62;23,29
05/06/25;24,76;;1,12;4,74;;;23,97;25,11;23,90
05/05/25;23,64;;0,96;4,23;;;24,25;24,63;22,81
05/02/25;22,68;;-1,92;-7,80;;;23,63;24,32;22,34
05/01/25;24,60;;-0,10;-0,40;;;23,94;25,18;23,30
04/30/25;24,70;;0,53;2,19;;;24,35;28,17;24,23
04/29/25;24,17;;-0,98;-3,90;;;24,76;25,99;23,76
04/28/25;25,15;;0,31;1,25;;;25,75;26,93;24,70
04/25/25;24,84;;-1,63;-6,16;;;26,22;27,20;24,84
04/24/25;26,47;;-1,98;-6,96;;;28,69;29,66;26,36
04/23/25;28,45;;-2,12;-6,93;;;28,75;30,29;27,11
04/22/25;30,57;;-3,25;-9,61;;;32,61;32,68;30,08
04/21/25;33,82;;4,17;14,06;;;32,75;35,75;31,79
04/17/25;29,65;;-2,99;-9,16;;;30,79;32,55;29,57
04/16/25;32,64;;2,52;8,37;;;33,24;34,96;29,48
04/15/25;30,12;;-0,77;-2,49;;;30,01;31,45;28,29
04/14/25;30,89;;-6,67;-17,76;;;34,76;35,17;29,75
04/11/25;37,56;;-3,16;-7,76;;;40,80;46,12;36,85
04/10/25;40,72;;7,10;21,12;;;34,44;54,87;34,44
04/09/25;33,62;;-18,71;-35,75;;;50,98;57,96;31,90
04/08/25;52,33;;5,35;11,39;;;44,04;57,52;36,48
04/07/25;46,98;;1,67;3,69;;;60,13;60,13;38,58
04/04/25;45,31;;15,29;50,93;;;30,12;45,61;29,99
04/03/25;30,02;;8,51;39,56;;;26,38;30,02;24,93
04/02/25;21,51;;-0,26;-1,19;;;22,30;23,66;20,68
04/01/25;21,77;;-0,51;-2,29;;;22,06;23,52;21,58
03/31/25;22,28;;0,63;2,91;;;24,11;24,80;21,67
03/28/25;21,65;;2,96;15,84;;;19,08;22,18;18,92
03/27/25;18,69;;0,36;1,96;;;18,36;19,28;17,95
03/26/25;18,33;;1,18;6,88;;;17,23;19,07;16,97
03/25/25;17,15;;-0,33;-1,89;;;17,58;17,77;17,02
03/24/25;17,48;;-1,80;-9,34;;;19,13;19,14;17,46
03/21/25;19,28;;-0,52;-2,63;;;20,02;21,14;19,15
03/20/25;19,80;;-0,10;-0,50;;;19,52;21,17;19,30
03/19/25;19,90;;-1,80;-8,29;;;21,84;22,10;19,42
03/18/25;21,70;;1,19;5,80;;;20,83;22,57;20,41
03/17/25;20,51;;-1,26;-5,79;;;22,89;22,95;20,32
03/14/25;21,77;;-2,89;-11,72;;;24,35;24,36;21,48
03/13/25;24,66;;0,43;1,77;;;24,92;26,13;23,46
03/12/25;24,23;;-2,69;-9,99;;;26,88;26,91;23,89
03/11/25;26,92;;-0,94;-3,37;;;27,94;29,57;26,18
03/10/25;27,86;;4,49;19,21;;;24,70;29,56;24,68
03/07/25;23,37;;-1,50;-6,03;;;24,85;26,56;23,09
03/06/25;24,87;;2,94;13,41;;;22,60;25,92;22,39
03/05/25;21,93;;-1,58;-6,72;;;23,03;24,84;21,37
03/04/25;23,51;;0,73;3,20;;;22,96;26,35;21,71
03/03/25;22,78;;3,15;16,05;;;19,83;24,31;19,25
02/28/25;19,63;;-1,50;-7,10;;;21,21;22,40;19,05
02/27/25;21,13;;2,03;10,63;;;18,25;21,47;17,67
02/26/25;19,10;;-0,33;-1,70;;;18,96;20,06;17,83
02/25/25;19,43;;0,45;2,37;;;19,09;21,48;18,85
02/24/25;18,98;;0,77;4,23;;;18,08;20,24;17,31
02/21/25;18,21;;2,55;16,28;;;15,63;19,03;15,28
02/20/25;15,66;;0,39;2,55;;;15,61;16,63;15,12
02/19/25;15,27;;-0,08;-0,52;;;15,14;15,96;15,05
02/18/25;15,35;;0,58;3,93;;;15,57;16,03;15,35
02/14/25;14,77;;-0,33;-2,19;;;15,08;15,42;14,74
02/13/25;15,10;;-0,79;-4,97;;;15,97;16,33;14,98
02/12/25;15,89;;-0,13;-0,81;;;15,91;17,18;15,64
02/11/25;16,02;;0,21;1,33;;;16,13;16,42;15,75
02/10/25;15,81;;-0,73;-4,41;;;16,58;16,61;15,70
02/07/25;16,54;;1,04;6,71;;;15,38;16,66;14,79
02/06/25;15,50;;-0,27;-1,71;;;15,88;16,15;14,99
02/05/25;15,77;;-1,44;-8,37;;;17,54;17,75;15,77
02/04/25;17,21;;-1,41;-7,57;;;18,78;19,11;16,78
02/03/25;18,62;;2,19;13,33;;;20,36;20,42;17,66
01/31/25;16,43;;0,59;3,72;;;15,45;17,09;14,90
01/30/25;15,84;;-0,72;-4,35;;;15,93;16,42;15,32
01/29/25;16,56;;0,15;0,91;;;16,42;18,08;16,17
01/28/25;16,41;;-1,49;-8,32;;;18,29;18,39;16,25
01/27/25;17,90;;3,05;20,54;;;18,83;22,51;17,57
01/24/25;14,85;;-0,17;-1,13;;;15,02;15,16;14,58
01/23/25;15,02;;-0,08;-0,53;;;15,28;15,39;14,59
01/22/25;15,10;;0,04;0,27;;;14,89;15,29;14,59
01/21/25;15,06;;-0,91;-5,70;;;16,29;16,29;14,93
01/17/25;15,97;;-0,63;-3,80;;;16,19;16,23;15,53
01/16/25;16,60;;0,48;2,98;;;15,87;16,60;15,64
01/15/25;16,12;;-2,59;-13,84;;;19,08;19,14;15,96
01/14/25;18,71;;-0,48;-2,50;;;18,79;19,66;18,24
01/13/25;19,19;;-0,35;-1,79;;;21,18;22,04;19,15
01/10/25;19,54;;1,84;10,40;;;18,29;20,31;18,05
01/08/25;17,70;;-0,12;-0,67;;;17,91;19,50;17,37
01/07/25;17,82;;1,78;11,10;;;16,48;18,90;15,79
01/06/25;16,04;;-0,09;-0,56;;;16,77;16,87;15,71
01/03/25;16,13;;-1,80;-10,04;;;17,66;17,94;16,11
01/02/25;17,93;;0,58;3,34;;;17,21;19,50;16,96
12/31/24;17,35;;-0,05;-0,29;;;17,39;17,81;16,68
12/30/24;17,40;;1,45;9,09;;;17,21;19,22;16,44
12/27/24;15,95;;1,22;8,28;;;15,38;18,45;15,29
12/26/24;14,73;;0,46;3,22;;;14,99;15,93;14,55
12/24/24;14,27;;-2,51;-14,96;;;16,97;17,04;14,27
12/23/24;16,78;;-1,58;-8,61;;;18,09;20,02;16,74
12/20/24;18,36;;-5,73;-23,79;;;24,14;26,51;17,82
12/19/24;24,09;;-3,53;-12,78;;;21,61;24,12;20,16
12/18/24;27,62;;11,75;74,04;;;15,57;28,32;14,82
12/17/24;15,87;;1,18;8,03;;;14,98;15,94;14,78
12/16/24;14,69;;0,88;6,37;;;14,37;14,69;13,99
12/13/24;13,81;;-0,11;-0,79;;;13,57;14,25;13,24
12/12/24;13,92;;0,34;2,50;;;13,73;13,95;13,39
12/11/24;13,58;;-0,60;-4,23;;;14,42;14,43;13,52
12/10/24;14,18;;-0,01;-0,07;;;14,30;14,54;13,86
12/09/24;14,19;;1,42;11,12;;;13,36;14,23;13,35
12/06/24;12,77;;-0,77;-5,69;;;13,62;13,74;12,70
12/05/24;13,54;;0,09;0,67;;;13,46;13,70;13,26
12/04/24;13,45;;0,15;1,13;;;13,16;13,61;12,89
12/03/24;13,30;;-0,04;-0,30;;;13,38;13,77;13,19
12/02/24;13,34;;-0,17;-1,26;;;14,08;14,10;13,30
11/29/24;13,51;;-0,59;-4,18;;;14,00;14,15;13,49
11/27/24;14,10;;;;;;14,28;15,13;13,96
11/26/24;14,10;;-0,50;-3,42;;;14,95;15,03;13,88
11/25/24;14,60;;-0,64;-4,20;;;15,23;15,72;14,54
11/22/24;15,24;;-1,63;-9,66;;;16,67;17,56;15,24
11/21/24;16,87;;-0,29;-1,69;;;17,10;17,99;15,73
11/20/24;17,16;;0,81;4,95;;;16,19;18,79;16,04
11/19/24;16,35;;0,77;4,94;;;15,44;17,93;15,37
11/18/24;15,58;;-0,56;-3,47;;;16,60;17,00;15,35
11/15/24;16,14;;1,83;12,79;;;15,02;17,55;14,56
11/14/24;14,31;;0,29;2,07;;;14,17;14,32;13,59
11/13/24;14,02;;-0,69;-4,69;;;15,09;15,26;13,77
11/12/24;14,71;;-0,26;-1,74;;;15,09;15,37;14,69
11/11/24;14,97;;0,03;0,20;;;15,33;15,56;14,89
11/08/24;14,94;;-0,26;-1,71;;;15,13;15,33;14,66
11/07/24;15,20;;-1,07;-6,58;;;15,86;15,86;15,13
11/06/24;16,27;;-4,22;-20,60;;;16,06;16,82;15,44
11/05/24;20,49;;-1,49;-6,78;;;21,98;22,06;20,20
11/04/24;21,98;;0,10;0,46;;;22,50;23,07;21,73
11/01/24;21,88;;-1,28;-5,53;;;22,96;23,09;21,16
10/31/24;23,16;;2,81;13,81;;;21,44;23,42;21,12
10/30/24;20,35;;1,01;5,22;;;19,33;20,44;19,30
10/29/24;19,34;;-0,46;-2,32;;;19,75;20,53;19,06
10/28/24;19,80;;-0,53;-2,61;;;19,11;19,88;18,91
10/25/24;20,33;;1,25;6,55;;;19,22;20,51;18,23
10/24/24;19,08;;-0,16;-0,83;;;18,87;20,24;18,63
10/23/24;19,24;;1,04;5,71;;;18,21;20,47;18,18
10/22/24;18,20;;-0,17;-0,93;;;18,79;19,44;18,05
10/21/24;18,37;;0,34;1,89;;;18,78;19,34;18,36
10/18/24;18,03;;-1,08;-5,65;;;19,30;19,32;17,99
10/17/24;19,11;;-0,47;-2,40;;;19,55;19,65;18,88
10/16/24;19,58;;-1,06;-5,14;;;20,77;21,01;19,45
10/15/24;20,64;;0,94;4,77;;;19,61;20,89;19,44
10/14/24;19,70;;-0,76;-3,71;;;20,86;20,86;19,69
10/11/24;20,46;;-0,47;-2,25;;;20,87;21,16;20,14
10/10/24;20,93;;0,07;0,34;;;20,91;21,39;20,64
10/09/24;20,86;;-0,56;-2,61;;;21,98;22,01;20,71
10/08/24;21,42;;-1,22;-5,39;;;22,92;23,14;21,14
10/07/24;22,64;;3,43;17,86;;;20,76;23,03;20,65
10/04/24;19,21;;-1,28;-6,25;;;20,48;20,48;18,48
10/03/24;20,49;;1,59;8,41;;;19,63;20,75;19,16
10/02/24;18,90;;-0,36;-1,87;;;19,65;20,36;18,58
10/01/24;19,26;;2,53;15,12;;;16,96;20,73;16,61
09/30/24;16,73;;-0,23;-1,36;;;17,01;17,79;16,47
09/27/24;16,96;;1,59;10,34;;;15,64;16,97;15,20
09/26/24;15,37;;-0,04;-0,26;;;15,06;15,83;14,90
09/25/24;15,41;;0,02;0,13;;;15,82;15,82;15,17
09/24/24;15,39;;-0,50;-3,15;;;15,87;16,67;15,27
